page,issue_candidate,score,matched_patterns,review_text
1,wrong_missing_item,2,"giao sai; sai mau","Biết là đồ 0đ nhưng mà giao sai màu thất vọng dịch vụ vô cùng"
5,wrong_missing_item,1,"giao thieu","Giao thiếu sản phẩm, phản ánh lên shop thì xử lý chậm chạp, tư vấn hờ hững ko có tâm. Ai mua thì nên xem xét lại cách làm việc của shop. Tới giờ vẫn chưa nhận được phản hồi xử lý dù hỏi lại nhiều lần. Làm việc ko chuyên nghiệp, ko tôn trọng khách hàng .."
9,seller_service,1,"khong ho tro","Chất lượng: shop ko hỗ trợ xuất hoá đơn. Hộp 160 ghim vòng kẹp giấy tài liệu văn phòng phẩm giữ văn bản học sinh văn phòng màu sắc pastel đa năng tiện lợi Deli"
9,packaging,1,"hop vo","[ DELI VPP ] Combo 5/10/20 Bút Bi Deli Màu Pastel Ngòi 0.5mm Mực Xanh Nét Thanh Mảnh Phù Hợp Với Học Sinh"
10,packaging,1,"hop vo","[🔥15/4 VOUCHER 15K] Combo 5/10/20 Bút Bi Deli Màu Pastel Ngòi 0.5mm Mực Xanh Nét Thanh Mảnh Phù Hợp Với Học Sinh"
12,price_value,1,"phi tien","Nét chữ: nets duoc net khong Mực: chuaaw bao h mk mua buts ở shop lại bị tắc mực như này, viết còn ko ra mực phải ấn dí nét chữ đi dí lại nhieều lần Mk mua bút của shop lần này ko phải lần đầu có thể là hơn chục lần r nhưng thực shop làm mk rất thất vọng. Mk đặt 5 chiếc bút thì đến 4 chiếc bị tắc và ko ra đều mực dù bút mới bóc seal và còn nguyên mực, thậm chí còn chẳng ra mực, mk đã phải ấn đi ấn lại dí vào vở rất nhiều lần mới ra nổi chữ, mà cx nét được nét mất, như mk chụp vở ở trên chữ đc chữ ko chữ thì đứt nét đây chỉ là một số trang vở lấy làm ví dụ, mk ko vội đánh giá ngay mà sau gần 2 tuần sử dụng và thay đến 4 cái bút mới dám đánh giá như vậy; lúc đầu mk còn nghĩ có thể là do chất lượng giấy hoặc như nào nhưng mk đã thay đến 3 quyển vở của Campus, Klong, Crabit thì tình trạng vx như vậy, lần này có thể khẳng định là do bút vì so với những lần ghi vở trước ở hai ảnh cuối cùng nét bút vx rất đều và mượt cũng đc viết ở 3 quyển vở khác nhau theo thứ tự Campus, Crabit chất lượng khác hẳn 3 ảnh đầu. hôm vừa rồi mk còn làm bài ktra bút như vậy trong giowf ktra rất khó chịu. Lần này mua hàng thật sự rất khó chịu và phí tiền"
13,packaging,3,"dong goi so sai; dong goi te; goi so sai","Chất lượng: khas Đóng gói sơ sài phần giấy như có ai bóc ra rồi ship đắt mà đóng gói tệ"
26,wrong_missing_item,1,"dat mau","Màu sắc: đen Viết: bình thường Thiết kế: tối giản Cứ tưởng là 12 cây tại thấy trên video nó khui hộp và mình cũng đặt hộp xanh dương đậm xong lúc giao thì lại chỉ 1 cây mà còn là màu đen nữa rõ ràng đặt màu xanh mà giao màu đen hình minh họa là cái hộp mà"
31,wrong_missing_item,1,"giao thieu","Bảng bị thủng lõm, giao thiếu tất cả các phụ kiện chỉ có bảng ko"
32,packaging,1,"hop vo","Combo 5/10/20 Bút Bi Deli Màu Pastel Ngòi 0.5mm Mực Xanh Nét Thanh Mảnh Phù Hợp Với Học Sinh,Sinh Viên, Văn Phòng"
35,shipping_delivery,1,"giao lau","Giao lâu, lúc đầu báo hết hàng kêu huỷ đơn đặt phân loại khác và mình cứ treo đơn hàng sau 3 ngày thì mới giao (dù shop vẫn để sl hàng ở kho rất nhiều). Phụ kiện đi kèm không đồng đều, dù đặt cùng 1 phân loại nhưng người khác nhận nam châm 20mm, còn của mình có 15mm 0:04"
37,seller_service,1,"thai do","Ngòi: ngòi ok Viết: cũng mượt Nhưng gửi thiếu hàng còn không xin lỗi thái độ còn rất là hời hợt 🤬😡"
38,shipping_delivery,1,"that lac","Độ trơn tru: oie Thân bút: oke Màu: oke Thề cái đơn này bực cực săn cho rẻ vào vướng ngay cái shipper giao thất lạc hàng có nhận đc đâu"
43,wrong_missing_item,1,"giao thieu","Viết mượt: thiếu Giao thiếu 0:04"
45,wrong_missing_item,1,"giao nham","Màu sắc: đặt tím lại giao xanh Đệm tay: tốt Ngòi: tốt Ko thích màu xanh.Hãng giao nhầm màu rùi😩 0:17"
47,price_value,2,"phi tien; mua phi","Sản phẩm k xóa được nha mn mua phí tiền"
50,wrong_missing_item,1,"khong du so luong","Chất lượng sản phẩm: giao không đủ số lượng"
53,packaging,1,"bao bi rach","Bao bì rách nát tin tưởng deli nhưng nhận hàng thất vọng về sản phẩm nhận được 0:16"
54,seller_service,1,"khong giai quyet","Chất lượng: tệ Hàng bị xé rách cả 2 đầu, shop không giai quyết mà đổ lỗi cho vận chuyển"
55,price_value,1,"khong dang tien","Chất lượng: kém Ream giấy bọc bị xé cả 2 đầu và thân, tại sao shop lại bóc nát bao bì bọc ream giấy, ream giấy có bị rút lõi thay hàng kém chất lượng vào ? Shop mất uy tín quá, không đáng tiền để tự hạ uy tín người bán hàng như vậy. Tôi không trả hàng nhưng cho shop 1 sao."
60,wrong_missing_item,1,"khong du so luong","Mình mở ra thấy không còn nguyên, đã bị bóc từ trước và không đủ số lượng 500 tờ. [Deli VPP] 500 Tờ Giấy A4 Deli Giấy In Photo Cao Cấp Chính Hãng Loại Dày - Giấy Vẽ Chống Lóa Mỏi Mắt"
63,packaging,2,"dong goi so sai; goi so sai","Tôi không phải người hay đánh giá sản phẩm nhưng hôm nay điên người quá phải đánh giá. Hàng thì giao chậm. Vừa mở kiện ra đã thấy bao bì không còn nguyên vẹn. Giấy rách mất mấy tờ. Đóng gói sơ sài. Chưa bàn đến chất lượng nhưng cho hàng rách, không nguyên vẹn bán cho khách là một sự không tôn trọng khách hàng. Xứng đáng 0 ⭐️. Thôi, mua một lần cạch tới già! 0:37 [Deli VPP] 500 Tờ Giấy A4 Deli Giấy In Photo Cao Cấp Chính Hãng Loại Dày - Giấy Vẽ Chống Lóa Mỏi Mắt"
64,wrong_missing_item,1,"giao sai","Trải nghiệm vô cùng tệ! Nhân viên coi thường thách thức khách hàng dù shop giao hàng trễ. Giao sai hàng, bút hư viết không ra mực [Gel Đệm Xốp Xóa Được] Hộp 12 Bút Bi Nước Gel Deli Xóa Được Đệm Xốp Mực Xanh/Đen Ngòi ST 0.5mm Học Sinh Văn Phòng [Gel Đệm Xốp Xóa Được] Hộp 12 Bút Bi Nước Gel Deli Xóa Được Đệm Xốp Mực Xanh/Đen Ngòi ST 0.5mm Học Sinh Văn Phòng"
64,packaging,2,"dong goi so sai; goi so sai","Đúng với mô tả: Không đúng Rách như thế này còn giao đến khách hàng, đóng gói sơ sài, giấy bị bẩn. Này là vết rách trước khi giao hàng. Không phải do đơn vị vận chuyển vì bao nhựa bọc ngoài còn nguyên. Quá gớm. Sẽ không quay lại mua 0:07 [Deli VPP] 500 Tờ Giấy A4 Deli Giấy In Photo Cao Cấp Chính Hãng Loại Dày - Giấy Vẽ Chống Lóa Mỏi Mắt"
68,price_value,2,"phi tien; mua phi","Đào lửa bảo 120 trang mà gia quyển có 60 trang không nên mua phí tiền hàng sau ạ em cảm thấy không được ạ em có thể 0:11"
70,price_value,1,"dat so voi","Mực tắc liên tục, ra không đều, màu đậm nhưng nét thô, không mượt. Đặt nhầm mà thấy giá cũng đắt so với những loại khác nên nghĩ ổn để dùng mà ai dè quá thất vọng! [TOP 1 BÚT GEL] Bút bi gel bấm văn phòng Deli mực đen ngòi 0.5mm học sinh mực đều chữ đẹp A575 có ruột xanh thay thế"
74,spam_irrelevant,1,"minh hoa","Chất lượng: tẩy nhỏ bé tí mà giá thành cao tẩy thì không được tốt. bút thì tốt bút chì chưa gọt nên chưa xài Làm sạch: hình ảnh mang tính chất minh họa 0:05 Gôm Tẩy Bút Chì 4B Deli - Tẩy Sạch Sẽ, Ít Vụn, Không Mòn Giấy - Phù Hợp Cho Học Sinh, Văn Phòng, Vẽ Tranh, Phác Thảo"
74,wrong_missing_item,1,"giao thieu","Giao thiếu cả hộp mà ship đc một cái là sao . Quảng cáo thì cả hộp mà đến khi giao mà độc một cái là sao 0:22 [HƠN 40 MÀU] Bút bi nước mực gel bấm nhiều màu 0.5mm Deli xinh xắn nhanh khô viết đều trơn tru chất lượng cao EG118"
77,wrong_missing_item,1,"giao sai","GIAO SAI HÀNG Đặt mua mã macaron mà giao accentio, không thể chấp nhận 0:29 Bút highlight đánh dầu màu macaron Deli - Bút dạ quang đánh dấu nhớ dòng pastel mực đều nhanh khô cho văn phòng học sinh Bút highlight đánh dầu màu macaron Deli - Bút dạ quang đánh dấu nhớ dòng pastel mực đều nhanh khô cho văn phòng học sinh Bút highlight đánh dầu màu macaron Deli - Bút dạ quang đánh dấu nhớ dòng pastel mực đều nhanh khô cho văn phòng học sinh"
83,packaging,1,"hop vo","Vỉ 10 bút chì lục giác Deli 2B/HB kèm đầu tẩy - chất liệu gỗ an toàn dễ gọt phù hợp với học sinh văn phòng"
83,packaging,1,"dong goi khong can than","đóng gói không cần thận. hộp ngòi chì kim bung ra gãy lung tung gần như 1 nửa. với số tiền này ra quán mua hộp ngòi cho chắc ăn chứ ship về không dùng đc nhiêu. 0:08 Ruột bút chì kim 0.5mm Deli, ngòi chì kim 100 chiếc 2B, lõi chì bấm nhỏ gọn tiện lợi phù hợp cho học sinh, văn phòng"
84,packaging,1,"hop vo","Bút chì ngòi rất dễ gãy. Chất lượng không ổn chút nào!!!!!!!!! 0:07 Vỉ 10 bút chì lục giác Deli 2B/HB kèm đầu tẩy - chất liệu gỗ an toàn dễ gọt phù hợp với học sinh văn phòng"
85,wrong_missing_item,1,"dat mau","Đúng với mô tả: không đúng Chất lượng sản phẩm: ok ủa sao đặt màu hồng mà giao màu tím v [Deli VPP] Bút Xóa Băng Học Sinh 40M Xinh Xắn Deli - Xóa Sạch Bám Dính Tốt Khô Nhanh Băng Kéo Văn Phòng Nhiều Màu"
86,wrong_missing_item,2,"giao sai; sai mau","bút giao phần đầu silicon vàng khè , bên trong thì vừa đen vừa bẩn như kiểu mới cắm bút ở đâu ( dù mới nhận hàng ) phần sáng bạc chỗ ngòi ra thì đen rỉ , trông rất mất thẩm mĩ . mua từ bên tiktok cùng hãng thì cố ý giao sai màu , sang shoppe thì giao đồ đểu -) làm ăn phát chán 0:05 [Deli VPP]Bút Chì Kim Pastel Deli Ngòi 0.5-0.7mm Đệm Tay Siêu Êm Cao Cấp Kèm Đầu Tẩy Cải Tiến Cho Học Sinh Dân Văn Phòng 1 1 2 84 85 86 87 88 DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2"
97,wrong_missing_item,2,"giao sai; dat mau","Chất lượng sản phẩm: bth Giao sai hàng 2 lần đặt màu xám luôn về xanh"
103,wrong_missing_item,1,"giao sai","Giao sai hàng đặt sáp dầu mà ship sáp thường quá lẳng lơ và thiếu chuyên nghiệp coi thường khách hàng"
104,price_value,1,"phi tien","Mình sẽ ko mua lại sp này của shop :( Nó đã bị rơi xuống khi mình dán lên tối hôm trước và kéo cả sơn tường bung theo. khi dán lại lên thì băng keo ko còn dính nhiều như lần1 nữa (vuốt mép thì phẳng-sau đó lại phồng (cứ lo mai ngủ dậy lại rơi rồi ghê), cả vết nứt gãy ngay giữa bảng (kB vì lý do hôm rơi hay bị gì). Ko nên mua đâu kẻo phí tiền lắm... Muốn đổi ko nhắn gọi đc shop, bấm trả hàng ko làm đc, thao tác hoàn tiền bị ẩn càng ko làm 😔 0:19"
106,wrong_missing_item,1,"giao nham","Ch nhận được hàng mà đã giao hàng thành công bên ship giao nhầm"
113,price_value,1,"phi tien","Keo dán vào tường 1 lúc là bong. Vô dụng phí tiền. Mua hàng đắt mà sắt ra bực mình 🤬🤬🤬🤬🤬"
114,price_value,1,"mua phi","Đúng với mô tả: ngoại hình đẹp bấm mãi k ra chì , v coi như mua phí luôn 0:17"
115,seller_service,2,"khong ho tro; thai do","Shipper thái độ quá tệ, giao hàng thì lâu. Ng bán thì k hổ trợ khách gì cả."
115,packaging,2,"dong goi so sai; goi so sai","Đóng gói sơ sài làm rách bao bì trong lúc vận chuyển"
118,wrong_missing_item,2,"giao sai; shop giao sai","Chất lượng sản phẩm: tốt Đúng với mô tả: không 2 màu xanh lá với xanh dương nhạt nó khác hình nhiều lắm, không biết là shop giao sai hay màu nó vốn dĩ là như vậy nữa"
119,wrong_missing_item,1,"giao thieu","Sp giao thiếu"
121,wrong_missing_item,1,"giao thieu","Giao thiếu bút"
134,seller_service,1,"thai do","quá tệ chặn cả khách hàng tôi k hiểu quá tệ k bh quay lại quá tệ với cách phục vụ của shop này đi CHẶN cả khách hàng hay là vì đơn hàng 0đ mà thái độ như vậy ?????"
137,seller_service,1,"thai do","giao nhanh đúng sp nhưng shipo thái độ khinh thường khác shop nên xem lại"
140,wrong_missing_item,1,"giao thieu","giao thiếu sp"
147,wrong_missing_item,1,"giao thieu","mình đặt 6 hộp giao thiếu 1 hộp nhưng quên quay vd lại"
147,wrong_missing_item,2,"giao thieu; thieu hang","Giao thiếu hàng ? Chỉ giao cho mình cái đựng sách thôi nha mn 0:05"
147,wrong_missing_item,1,"thieu hang","Thiếu hàng tặng"
147,wrong_missing_item,1,"thieu hang","Thiếu hàng tặng hỏi shop nói đợi các bạn CSKH đi làm đến giờ là T4 rồi mà không thấy phản hồi lại !"
151,wrong_missing_item,1,"dat mau","Đặt màu hồng trong suốt giao màu cam trong suốt!"
156,wrong_missing_item,2,"giao sai; sai mau","Giao sai mẫu nhắn tin ko giải quyết"
156,seller_service,1,"thai do","shipper thái độ với khách hàng"
158,wrong_missing_item,1,"giao sai","Giao sai địa chỉ ko nên đặt"
