page,issue_candidate,score,matched_patterns,review_text
1,wrong_missing_item,1,"dat size","đặt size L giao size XL mall mà làm ăn cỡ đó tiền bạc riết xem như cỏ rác chán."
3,packaging,1,"hop mop","túi xách không có nổi 1 cái hộp đàng hoàng , giao về hộp móp"
6,price_value,1,"khong xung","Giá gốc dép 6-700k, mình mang thử mới 20p thì ốc quai đã bung ra. Chất lượng hoàn thiện kém, ốc vít ko chắc, dép nhìn ngoài đẹp, nhưng gia công sơ sài không xứng đáng với giá gốc shop niêm yết. Với mức giá này mình kỳ vọng sẽ tốt hơn chứ ko hỏng nhanh như vậy.Thêm nữa gói hàng rất cẩu thả, hộp móp méo khi nhận hàng.Người mua sao nên cân nhắc, đừng để giá sale đánh lừa cảm giác về chất lượng."
7,price_value,1,"khong dang tien","không đáng tiền"
7,price_value,2,"phi tien; mua phi","hãng lớn mà làm ăn vậy đó, giá thì đắc mà chất lượng vậy, chưa kể chỉ thừa nhiều, giao hàng lâu nữa, nhắn tin shop không trả lời, nói chung đừng mua phí tiền"
7,packaging,1,"dong goi te","Đúng với mô tả: ọp ẹp Màu sắc: đúng Chất liệu: xấu hàng thì đắt mà đóng gói tệ vcd, nhận hàng dép không có nổi 1 cái bọc gói dép, bên ngoài hộp có đúng 1 lớp chống sốc??? brand bị sao v, đáng lẽ bên ngoài phải thêm 1 hộp nữa kèm 2-3 lớp chống sốc chứ"
10,packaging,2,"dong goi so sai; goi so sai","đóng gói sơ sài, hộp thì móp méo, đôi dép hơn 600k mà chỉ có mỗi tờ giấy bọc, hộp đựng cũng không đàng hoàng, quá thất vọng, dép thì đẹp mà hình thức gói hàng quá tệ 0:10"
11,shipping_delivery,1,"giao cham","Giao chậm"
14,price_value,1,"khong xung","Màu sắc: trắng Áo rất là ko xứng đáng với giá tiền gần 300k brand lớn mà làm cái áo vải gì mỏng lét còn dễ nhăn dù ủi r mặc tí lại nhăn hết cái áo thà đi mua brand khác còn hơn"
16,price_value,1,"khong xung","Vải mỏng. Chất vải thô cứng, Xấu. Ko xứng đáng với giá tiền bỏ ra Size chart cũng không đúng"
17,wrong_missing_item,2,"giao sai; sai mau","Giao sai màu"
19,wrong_missing_item,1,"sai mau","Màu sắc: sai màu gửi màu xanh"
19,wrong_missing_item,1,"giao sai","Giao Sai sản phẩm"
19,price_value,1,"khong xung","Nay mặc thử thì xin đánh giá lại là vãi như thun ngoài chợ mặc và chất liệu ko xứng đáng với số tiền bỏ ra"
