page,issue_candidate,score,matched_patterns,review_text
2,seller_service,1,"thai do","Công dụng: tAy trang Độ bền màu: ko hiet Thái độ đóng hàng quá tệ. Coi thường khách hang. Hay bán được nhiều nên ko cần thiêt cac khach 0:38 4 min_huye1802"
2,seller_service,1,"khong phan hoi","Mẹo: taayr trang Kinh nghiệm sử dụng: sachj da Làm đẹp: shop mua 1 tanwgj 5 nhuwng gửi 4 thiếu 1 sp hỗ trợ shop ko phản hồi 0:08"
3,seller_service,1,"thai do","Công dụng: tẩy trang Độ bền màu: ko Đã nhận được sp. Đơn hàng mua gần 1.5M đặt trước mà gửi chậm hơn đơn hàng 260K đặt sau trong khi tôi đã có nhắn tin cho Shop mà vẫn gửi sai sp trong đơn, NV kiểm đơn ẩu bị sai hàng mà còn ghi chú bằng bút trên gói hàng như đúng rồi. Trong đơn tôi đặt ""serum nghệ 22% vitamin C 30ml tặng thạch nghệ 30ml giá 442K"" lại giao thành ""thạch nghệ 30ml tặng serum nghệ 22% vitamin C 5ml giá 192K"". Shop giao sai nhắn Shop thì Shop yêu cầu gửi hình ảnh & video khui hàng. Shop xin lỗi nói sẽ gửi chai serum nghệ 22% vitamin C 30ml đúng lại cho tôi & yêu cầu tôi gửi lại chai serum nghệ 22% vitamin C 5ml lại cho Shop. Nếu tôi ko quay video kiểm hàng chắc mất oan 250K & nhận sự khó chịu vào người. Quy cách phục vụ chăm sóc khách hàng & thái độ xử lý lỗi quá yếu kém, bắt khách chờ đợi trong khi đang cần sử dụng, cho 1* vì cách khắc phục lỗi không thoả đáng. 0:06"
4,seller_service,1,"khong ho tro","Làm đẹp: ko Hương thơm: ko Kinh nghiệm sử dụng: de thoa Mua nguyên bộ của bên cocoon, xài thử chai gel rửa mặt với tuyp chống nắng được tặng thử, kết quả bị dị ứng nổi mẩn ngứa cả tuần, ngứa vô cùng, hỏi bên shop thì bảo là ngưng time sử dụng lại xem, mình cũng nghe lời xong sử dụng lại bị kích ứng tiếp. Sau đó mình nhắn trả hàng thì shop lại bảo qua time trả hàng rồi, tại sao ngay lúc đầu ko kêu mình trả hàng luôn đi, kêu ngta đợi chờ thêm time nữa rồi bảo đã qua time trả hàng. Cũng ko hỗ trợ gì thêm, mua nguyên bộ mấy trăm ngàn mới xài thử chai nhỏ được tặng thôi bây giờ không lẽ bắt ngta bỏ hết đống này mua lại mỹ phẩm khác. Phục vụ tệ, ko ủng hộ shop này nữa. Bye lun"
8,seller_service,1,"khong ho tro","Sáng đặt hàng, trưa mình có yêu cầu hủy đơn để điều chỉnh sản phẩm rồi đặt lại. Nhưng shop k hỗ trợ với lý do đơn hàng đang được giao trong khi lúc mình yêu cầu là đơn hàng đang được chuẩn bị thôi ạ. Nếu đã chuyển cho bên giao hàng rồi thì mình đã k yêu cầu hủy nhưng cách xử lý của shop làm mình thấy k vui tý nào. 0:14"
9,seller_service,1,"khong ho tro","mua ở cocoon rất nhiều lần rồi nhưng lần đầu mình đánh giá 1 sao, đóng gói thì thiếu 1 chai quà tặng, tràn sản phẩm, bể nắp sản phẩm làm rò rỉ hết ra, Khâu CSKH cũng cực kì TỆ, chỉ gọi để báo vậy thôi chứ KHÔNG XIN LỖI hay đưa bất kì phương án đền bù nào, giờ có tặng mình voucher hay mở miệng xin lỗi mình cũng bỏ qua, toàn chối bỏ trách nhiệm nói là do mình quên bấm đủ sản phẩm? ý là shop thừa biết lỗi của shop nhưng vẫn không hỗ trợ, không xin lỗi và không có thiện chí cho hướng xử lý phù hợp!! Nói chung thất vọng.😣 0:23"
11,price_value,1,"gia cao","Tôi thỉnh thoảng cũng xài sp thuần chay của shop. tuy nhiên lần này tôi cảm thấy ko hài lòng về chương trình KM của shop. Chương trình KM mua sp có giá từ 249 k sẽ được tặng chai tẩy trang 140ml . Tuy nhiên sp tôi mua có giá cao hơn mà ko nhận được quà tặng. tôi thấy shop lừa dối khách hàng."
13,seller_service,1,"khong giai quyet","Độ sạch: Hàng không có trong hộp Sản phẩm: Sản phẩm không như mô tả, Hàng lỗi hoặc bị hư hỏng Mở hộp toàn giấy độn, món hàng chính (chai tẩy trang 500ml không có) và thiếu 2 món quà tặng. Brand không giải quyết cho khách hàng dù lịch sử mua hàng mình chưa bao giờ có vấn đề gì, thật sự thất vọng với dịch vụ của brand."
16,seller_service,1,"shop khong rep","Ko chê sp nma chê cách làm việc của shop nha. M mua mấy lần r ko gặp vấn đề j nma lần này thấy tệ nha. M mua tẩy trang 1 tặng 1 nma gửi m có 1 chai. Nt thì shop ko rep. Ko hiểu kiểu j. M mua của spay h hoàn thì mất phí của m, Yc shop giải quyết vấn đề cho m liền ạ :))"
17,price_value,1,"phi tien","Độ bền màu: bt Công dụng: chưa rõ Dùng như ko dùng, phí tiền"
