page,issue_candidate,score,matched_patterns,review_text
8,packaging,2,"dong goi so sai; goi so sai","Giao hangg nhanh , đóng gói sơ sài, bịch màng bọc gửi kèm móc treo đã bị gẫy k jai do vận chuyển mà móc treo đã gẫy sẵn vẫn gửi kèm, k tôn trọng k/h. 0:07"
13,wrong_missing_item,1,"giao thieu","vì tin tưởng shopee và kol tưởng acc topgia nào cũng như nhau NHƯNG KHÔNG . bịch sài rồi là của topgiahcmstore còn bình vàng khè như màu cháo lòng là của shop này :) nhờ người nhà khui dùm nên không có video khui không hoàn hàng trả tiền được CÒN GIAO THIẾU 6b khăn ướt 😇🙏🏻 nam mô 0:11"
14,wrong_missing_item,1,"thieu hang","Thiếu hàng thùng 20 gói mà giao có 16 gói"
14,wrong_missing_item,3,"giao thieu; shop giao thieu; thieu hang","Shop giao thiếu hàng. Đặt thùng 30 gói thì giao 29 gói. Các gói giấy sắp hết hạn sử dụng , lại bị rách góc, được để trong thùng carton rách nát. 0:11"
15,spam_irrelevant,1,"minh hoa","Ảnh chỉ mang tính chất minh hoạ, nma khâu đóng gói quá tệ, sp mình chưa dùng mình chưa bàn đến chất lượng, nhưng gói giấy mình nhận được đến tay móp méo tùm lum thêm nữa bám dầu mỡ tanh hôi mùi cá cực kỳ, tanh đến mức mình phải tháo vỏ bọc ngoài ra, đóng gói kiểu này hong dám mua lại lần 2🥹"
20,price_value,1,"khong dang tien","Hàng kém chất lượng không đáng tiền"
22,price_value,1,"khong xung","Sản phẩm thực tế khác xa so với ảnh chụp. Chất liệu mỏng, cẩu thả, không xứng đáng với giá tiền."" ""Mô tả ghi là hàng cao cấp nhưng nhận về là hàng loại 2, chất mùi hôi. Thất vọng."" 0:07"
26,wrong_missing_item,1,"giao nham","Giao nhầm thành giấy gói loại nhỏ. K phải loại rút treo tường. Cũng k tặng kèm móc gì cả"
27,wrong_missing_item,1,"giao thieu","Độ dày: ok Mềm mại: ok Thiết kế: xấu giao thiếu 1 bịch còn kh tặng móc treo cho"
29,packaging,1,"hop vo","Mua hàng bao nhiều lần của thương hiệu này, nhưng đây là lần mình phải đánh giá k hài lòng đấy. Mình đặt thùng quy cách 20 gói, mà giờ mở ra chỉ có 18 gói thôi. Mà k biết shop vô tình hay cố tình, đóng gói rất hay. Phần trên cùng là chất full gói giấy, nhưng lớp cuối thì chỉ để 2 gói kê cao lên để cho đầy cái thùng gọi là 20 gói đó. K lẽ bây giờ chỉ có 2 gói khăn giấy mà mình lại đi hoàn trả hàng laii thì kỳ, trước giờ cũng đã nghe sp này bị đánh giá kém chất lượng rồi này kia, nhưng mình cũng k quan tâm, vì mình dùng khăn giấy bên topgia cũng khá lâu rồi, nhưng giờ đến khâu đóng gói cũng tệ nữa thì làm sao giữ chân được khách hàng trong thời buổi cạnh tranh như vậy. Mình chỉ đánh giá theo những gì mình cảm nhận thôi 😔😔"
34,wrong_missing_item,2,"giao thieu; shop giao thieu","Đặt shop 1 thùng giấy và 4 bịch khăn rút 1 lần nhưng shop giao thiếu 4 bịch khăn rút. Nhắn cho shop thì nhận đc câu trả lời như ảnh. 09/04 vẫn chưa nhận đc phản hồi hướng xử lý của shop là hoàn tiền hay gửi bù hàng dù đã thanh toán đủ tiền mà shop chỉ gửi một nửa hàng đặt. Shop lừa đảo khách hàng phải chọn đã nhận hàng để up ảnh đánh giá cho shop. Mình sẽ báo cáo shop này lừa đảo khách hàng 0:11"
