page,issue_candidate,score,matched_patterns,review_text
1,price_value,2,"phi tien; mua phi","Chất lượng sản phẩm: rat te Đúng với mô tả: đúng dùng chua dc một tháng, nhanh het pin vãi sài chua đầy 1 tiếng đã hết . kh đáng mua , phí tiền 0:18"
2,seller_service,1,"khong giai quyet","quạt mua xài đúng 15 ngày đang chạy tự nhiên tắt xong sạc bật lên thử thì ko chạy còn nghe tiếng nổ ở trong rồi khói bốc mùi khét nữa không bao giờ sử dụng lại sản phẩm nhắn tin shop thì shop không giải quyết 0:09"
4,seller_service,1,"khong phan hoi","Chất lượng sản phẩm: ổn Giao hàng lâu, mua 2 cái màu trắng nhưng lại giao 2 cái màu đen, nhắn tin khiếu nại nhưng shop kh phản hồi, chất lượng ổn mà dịch vụ cskh cực kém 0:04"
6,seller_service,1,"thai do","Sản phẩm: Hàng lỗi hoặc bị hư hỏng Quạt mình mua đơn tầm 20 ngày, quạt không hoạt động, nhắn tin bảo hành shop rất quanh co, không rõ ràng, trả lời tin nhắn lâu. Mua quạt chưa thấy mát mà thấy bực. Câu chuyện vài ngày sau, Shop trơ trẽn lắm mn ơi. Trả lời khách thái độ cợt nhả, bắt mình sửa thành đánh giá 5 sao mới tặng coupon mua hàng mới. Shop tự hỏi xem lừa dối khách hàng vậy đáng giá 5 sao không, mà cũng nhắn vậy được? KHÔNG BẢO HÀNH hàng lỗi. Trăm ngàn lần mình chê thật sự. Lần đầu mua hàng gặp kiều CSKH, CS như này. Hi vọng shopee giải quyết mạnh tay với những shop như này. 0:11"
6,seller_service,1,"shop khong rep","Chất lượng sản phẩm: mình dùng được khoảng nửa tháng, đi quân sự trời nóng oi bức hy vọng mua quạt sẽ cải thiện được phần nào. nhưng thật sự rất tệ, quạt dùng được vài ngày thì hết pin nhanh kinh khủng, từ 100% trong 2 tiếng còn 70%. đỉnh điểm là ngày hôm nay, đang dùng thì kêu to tiếng, ù ù như máy cày ấy sau đó thì ko mát nữa. nhắn tin shop ko rep. đọc cmt của mọi người thì cũng ko hy vọng nhiều. đánh giá 1 sao khá ít, vì thật ra mọi người đánh giá 5 sao là do mới nhận hàng hoặc mới sử dụng vài hôm. mình mua từ 22 tháng 7, nhưng thật ra 28/7 mới bắt đầu dùng ( tính đến nay chưa được 2 tuần nhưng quạt đã phế lắm rồi) mong mọi người cân nhắc khi mua, mong shop làm ăn tử tế và giải quyết vấn đề. Sống mà tránh né? Hèn! 0:10"
9,seller_service,1,"khong ho tro","Quạt đang dùng bật khi gập thì tự động ngắt (cái quạt trước đây của tôi ko gặp tình trạng này), đã liên hệ nhưng shop trả lời ko đúng trọng tâm, ko hỗ trợ 0:16"
9,seller_service,1,"thai do","Sản phẩm: Hàng lỗi hoặc bị hư hỏng Hàng giao về đã sạc đầy mà bật k lên khi yêu cầu để giải quyết thì nhân viên k trl mà trl thì cũng k đâu vào đâu yêu cầu đổi hàng thì k cho cũng k trl tn thật sự là k tin đc 1 shop như này thái độ bán hàng lại tệ đến vậy , và đơn của mình vẫn ch đc giải quyết tôi cảm thấy mình đang bị khinh thường và bị shop k lịch sự trong khi mình là khách mà mình nt rất lịch sự trong khi shop lại trl tin của mình rất hời hợt và thiếu tôn trọng và mình muốn nói với shop khi đọc đc đánh giá này của mình là số tiền 200 nó k quá nhiều so với mình và khi shop trl tin mình lịch sự thì mình có thể bỏ qua những ở chuyện này thì shop làm mình thất vọng nhân viên thiếu lịch sự , văn minh và k coi trọng khách hàng thì mình cũng k lịch sự trong lần nói chuyện sau đâu 0:08"
10,price_value,1,"phi tien","Sản phẩm: Sản phẩm chất lượng kém, Sản phẩm không như mô tả, Hàng lỗi hoặc bị hư hỏng quạt sạc đầy pin mà bật lên chạy dc có 1h là hết pin. Nt cho shop để bảo hành ngay khi nhận và dùng quạt lần đầu mà shop kêu dùng lâu chai pin ko chịu bảo hành. Lừa đảo phí tiền rcm mn ko nên mua. 0:08"
10,seller_service,1,"thai do","Đúng với mô tả: dung Chất lượng sản phẩm: cầm nặng tay Sản phẩm: Hàng lỗi hoặc bị hư hỏng, Sản phẩm chất lượng kém Hazzz! Sp lỗi hư! Nt thì shop cũng hỗ trợ lại thái độ lồi lõm! Nói cung bảo hành mà bảo hành cho có! Bắt lấy vocher đặt lại sp khác trong ngày ! Zúng như mình mua 2 đơn zị đó! 0:04"
10,seller_service,1,"khong giai quyet","Sản phẩm: Hàng lỗi hoặc bị hư hỏng xài dc vài ba phút.K bao giờ sạc lên 100%.Bờ hôm 99% còn xài dc ít.Nay cả đêm 99% sáng dậy bật xuống 00%.Shop thì k giải quyết còn cứ đưa AI vào.Bức xúc"
10,seller_service,1,"khong giai quyet","Sản phẩm: Hàng lỗi hoặc bị hư hỏng Ch đc 1p tụt 5-6%, sài đc tí là sụp nguồn lấy hàng đc 10 ngày lỗi shop k chịu rep tn, k giải quyết. Tệ chất lượng tệ sự chuyên nghiệp khi buôn bán, hãng quạt lớn vậy giải quyết thì không chịu, k nên mua nhé!!! 0:10"
13,seller_service,1,"khong giai quyet","giao hàng thì sai màu, sợi dây đeo thì mất 1 bên dây móc. Nhắn tin để giải quyết thì cũng chả làm được gì ngoài gửi mấy cái vd quạt, cách móc dây vô quạt. Nhưng lại ko giải quyết được vấn đề:))"
13,seller_service,1,"khong phan hoi","Đúng với mô tả: tạm Chất lượng sản phẩm: tạm tr ơi chưa sài nhiu hết là quạt bị lỗi r. Nhắn bên shop kh ai trl. Mua về sạc bth tgian sau sạc pin cực kì nóng kh vô pin hiện pin ảo bó tay luôn. Cũng hơn 100 mấy chứ ít ỏi gì mà làm ăn kiểu gì ngộ thiệt. Ai mua đồ cũng trong chờ sản phẩm mang lại tốt nhất mà làm v bó tay r. Thất vọng. CỰC KÌ THẤT VỌNG VỀ SHOP KHI LÀM ĂN KHÁCH HÀNG IB KH PHẢN HỒI. CHỈ PHẢN HỒI THEO TN TỰ ĐỘNG 0:06"
14,seller_service,1,"thai do","Lỡ bấm nhầm màu kêu đổi dùm màu khác .nói là đổi rồi yên tâm .ship tới lại màu m k thích.ghét thái độ lừa dối khách hàng 0:04"
16,seller_service,1,"khong phan hoi","Mk đặt 1 cái trước xài OK đặt dùm bà c 2 cái đen này mà bị lỗi 1 cái gửi hình cho shop mà ko đc ?shop cũng ko phản hồi lại tin nhắn cho mk cảm thấy shop ko quan tâm và có trách nhiệm.làm mk giờ phải bỏ máy này vì ko lên nguồn buồn shop thật. 0:05"
17,seller_service,1,"khong ho tro","Sản phẩm: Hàng lỗi hoặc bị hư hỏng ĐỪNG MUA! ĐỪNG MUA! ĐỪNG MUA! ai có ý định mua thì đừng mua nha trời ơi. Giao buổi trưa bấm xài ok, tới chiều đem ra xài thì nó hết lên mình sợ nó hết pin cấm pin một hồi đó cháy khét lẹt lun. Hoàn Trả hàng thì shoppe ko hỗ trợ shipper tới , shop kêu đưa mình mã giảm giá cuối cùng mua cây khác cũng phải tốn 15k !!!. Làm Ăn Chán ko biết cây mới giao có xài được không hay tốn 15k nữa. 0:17"
17,seller_service,1,"khong giai quyet","Pin xạc không lên được 100% Shop không giải quyết vấn đề Đã mua hàng khác nhiều lần từ shop này, nhưng thất vọng"
18,seller_service,1,"khong tra loi","Sản phẩm: Hàng lỗi hoặc bị hư hỏng Quạt dùng chưa được 1 tuần hỏng bật không quay ,nhắn tin cb không trả lời lại tặng phiếu gg gì ? 0:19"
20,seller_service,1,"khong tra loi","Sản phẩm: Hàng lỗi hoặc bị hư hỏng, Sản phẩm chất lượng kém Thật sự chán với cách xử lý của shop , bạn bè xung quanh mình đều nói ok nên mình tin và đặt hàng , đến khi hàng về thì bạn mình đều xác nhận quạt bị rè ồn hơn cái của bạn mình , rồi mình nhắn shop thì trả lời sao chả hiểu luôn ,mình có nhắn hỏi đổi hàng được không thì không trả lời mình , shop thì nhắn nói mình khuấy vào cánh quạt 😊 còn hơn nồi cháo bá heo nữa ,chả biết khuấy làm sao. Nhắn tin hỏi Cà Mau mà trả lời Hà Nội . Mình chẳng có thời gian hay sự kiên nhẫn để chờ đợi shop đâu , thất vọng !! 0:36"
21,price_value,1,"khong xung","Chất lượng sản phẩm: quá tồi Chất lượng sản phẩm quá chán, mình mới mua sử dụng chưa đc tuần thì quạt có tình trang pin thì ảo, báo 80% nhưng chỉ sử dụng chứ trên video Quá thất vọng về sản phẩm , k xứng đáng 1 chút nào với số tiền bỏ ra 0:08"
22,price_value,1,"gia cao","1 cái hồng bật ko lên, 1 cái tím bật lên, nhỏ xíu, khả năng giá cao nhưng ko bền, dễ hư hỏng. Ko biết cái hư kia thì xử lý thế nào."
24,seller_service,1,"khong tra loi","Shop đóng gói cẩn thận , đơn vị giao hàng lâu , om hàng chục ngày mới giao cho khách , hỏi thì không trả lời"
26,price_value,1,"phi tien","Chất lượng sản phẩm: quá tệ Dùng đc đúng 1 lần thì quạt k chạy nữa, sạc cũng k vào pin, nhắn tin shop k rep, phí tiền 0:06"
